# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	1407
#@/user_id	c35ff326-3a48-4b0a-bf55-c5625a9363c2
ai 	唉	c=1 d=1 t=55
da zhi 	大致	c=0 d=0.1 t=1240
da zhi guo cheng 	大致過程	c=1 d=1 t=1241
da zi 	打字	c=1 d=1 t=328
dai ma 	代碼	c=1 d=1.04471 t=746
dai ma tiao zhuan 	代碼跳轉	c=1 d=1 t=586
dan 	但	c=2 d=1.00182 t=1393
dan chun 	單純	c=1 d=1 t=128
dan ran 	淡然	c=1 d=1 t=396
dan yin hao 	單引號	c=1 d=1 t=545
dang qian 	當前	c=1 d=0.21754 t=907
dang qian hang 	當前行	c=1 d=1 t=908
dang xia 	當下	c=2 d=1.64627 t=299
dao 	到	c=8 d=3.5153 t=1335
dao 	導	c=0 d=0.1 t=644
dao lun 	導論	c=0 d=0.1 t=770
dao ru 	導入	c=0 d=0.1 t=487
dao ru de zhao pian 	導入的照片	c=1 d=1 t=488
dao zhi 	導致	c=1 d=1 t=790
de 	地	c=2 d=1.81873 t=207
de 	的	c=46 d=6.53733 t=1405
de bang zhu wen dang 	的幫助文檔	c=1 d=1 t=861
de shi 	的事	c=0 d=0.1 t=106
den 	㩐	c=2 d=1.28508 t=892
deng lu 	登錄	c=1 d=1 t=1040
di 	低	c=2 d=1.26714 t=1072
di 	地	c=0 d=0.1 t=806
di duan 	地段	c=1 d=1 t=760
di er yu zhou su du 	第二宇宙速度	c=1 d=1 t=76
di pei zhi 	地配置	c=1 d=1 t=807
di tie 	地鐵	c=2 d=1.99005 t=754
di tu 	地圖	c=1 d=1 t=765
di yi 	第一	c=0 d=0.1 t=979
di yi bu 	第一步	c=1 d=1.07082 t=142
di yi ci 	第一次	c=1 d=1.01496 t=1031
di yi ci chang shi xue gao 	第一次嘗試雪糕	c=1 d=1 t=652
di yi ge zi fu 	第一個字符	c=1 d=1 t=980
di yi tian 	第一天	c=1 d=1.04253 t=245
di yi xiang 	第一項	c=1 d=1 t=463
di zhi 	地址	c=2 d=1.05393 t=1223
dian nao 	電腦	c=1 d=1 t=744
diao 	掉	c=1 d=1 t=83
ding li 	定力	c=2 d=1.81465 t=293
ding zhi 	定製	c=0 d=0.1 t=951
dong xi 	東西	c=1 d=0.178473 t=549
dou 	都	c=7 d=5.29838 t=203
dou hui 	都會	c=0 d=0.1 t=81
dou tu 	鬥圖	c=1 d=1 t=725
dou yu 	鬥魚	c=1 d=1 t=693
du zi 	肚子	c=1 d=1 t=43
dui 	對	c=3 d=1.31934 t=702
dui ying 	對應	c=1 d=1 t=553
duo 	多	c=3 d=1.49656 t=1105
duo 	躲	c=1 d=1 t=376
duo ge 	多個	c=6 d=4.78419 t=1115
duo ge chuang kou 	多個窗口	c=1 d=1 t=686
duo ge shu ru fa 	多個輸入法	c=1 d=1 t=469
duo ge xi tong 	多個系統	c=1 d=1 t=1110
duo shao 	多少	c=1 d=1 t=309
duo yu 	多餘	c=1 d=1 t=240
en 	恩	c=1 d=1 t=51
eng 	嗯	c=1 d=1 t=56
er 	兒	c=1 d=1 t=352
er 	而	c=2 d=1.41271 t=335
er tong 	兒童	c=1 d=1 t=1349
er yan 	而言	c=1 d=1 t=145
er yi 	而已	c=0 d=0.1 t=139
fa hang 	發行	c=0 d=0.1 t=1115
fa hang ban 	發行版	c=1 d=1 t=1116
fa xian 	發現	c=1 d=1 t=339
fa xing 	發行	c=1 d=0.173903 t=1309
fa xing ban 	發行版	c=1 d=1 t=1310
fan dao ai 	飯島愛	c=1 d=1 t=735
fang an 	方案	c=0 d=0.1 t=1107
fang wen 	訪問	c=2 d=1 t=1407
fang zhi 	放置	c=1 d=1 t=464
fei 	非	c=1 d=1 t=1355
fei hu 	飛狐	c=0 d=0.1 t=708
fei zhou 	非洲	c=1 d=1 t=654
fen bian lv 	分辨率	c=1 d=1 t=846
fen ge 	分割	c=1 d=1.09608 t=521
fen ge chuang kou 	分割窗口	c=1 d=1 t=514
fen hao 	分號	c=1 d=1 t=544
fen lei 	分類	c=1 d=1 t=1307
fen pei 	分配	c=1 d=1 t=444
fen qu 	分區	c=7 d=5.20562 t=1143
fen qu fang an 	分區方案	c=1 d=1 t=1108
fu wu 	服務	c=3 d=1.54917 t=1301
fu zhi 	複製	c=2 d=1.18203 t=1293
fu zhi dang qian 	複製當前	c=1 d=1 t=518
gan jue 	感覺	c=1 d=1 t=1202
gan qing 	感情	c=1 d=1 t=378
gang 	剛	c=1 d=1 t=267
ge 	個	c=1 d=1 t=310
ge shi hua 	格式化	c=5 d=1.31548 t=1333
ge zi fu 	個字符	c=0 d=0.1 t=979
gen mu lu 	根目錄	c=1 d=1 t=1220
gen zhe 	跟着	c=1 d=1 t=1256
geng 	更	c=1 d=1 t=941
geng gai 	更改	c=1 d=0.480322 t=1401
geng gai yu yan 	更改語言	c=1 d=1 t=1383
geng hao 	更好	c=1 d=1 t=700
geng li hai 	更厲害	c=0 d=0.1 t=284
geng xin 	更新	c=1 d=1.10267 t=1162
gong ju 	工具	c=3 d=2.07879 t=1321
gong yao 	公鑰	c=3 d=2.6471 t=1018
gong yi 	公益	c=1 d=1 t=679
gong yong 	公用	c=1 d=1 t=1111
gong yong 	共用	c=2 d=1.49164 t=1260
gong zuo 	工作	c=1 d=1 t=161
gou 	夠	c=2 d=1.66365 t=265
gu ji 	估計	c=1 d=1 t=1198
gua zai 	掛載	c=2 d=1.99501 t=1396
guan 	觀	c=1 d=1 t=198
guan bi 	關閉	c=3 d=2.43787 t=1233
guan ji 	關機	c=0 d=0.1 t=586
guan ji ming ling 	關機命令	c=1 d=1 t=587
guan li 	管理	c=2 d=1.58346 t=739
guan li shou cang jia 	管理收藏夾	c=1 d=1 t=615
guan yu 	關於	c=0 d=0.1 t=968
guan yu ruan jian de shuo ming shu 	關於軟件的說明書	c=1 d=1 t=969
guang biao 	光標	c=0 d=0.1 t=514
guang biao yi dong 	光標移動	c=1 d=1 t=515
guang gao 	廣告	c=2 d=1.98511 t=626
gui 	鬼	c=0 d=0.1 t=931
gun dong 	滾動	c=1 d=1 t=1313
guo 	過	c=1 d=0.88692 t=1407
guo cheng 	過程	c=0 d=0.1 t=1240
ha ou 	哈偶	c=1 d=0.891366 t=1407
hai 	還	c=2 d=1.76338 t=369
hai zi 	孩子	c=1 d=1 t=39
han hua 	漢化	c=1 d=1 t=602
han hua ban 	漢化版	c=1 d=1 t=593
hang 	行	c=5 d=1.59911 t=1236
hao 	好	c=1 d=1 t=799
hao 	毫	c=1 d=1 t=325
hao wan 	好玩	c=1 d=1 t=1311
hao yong 	好用	c=2 d=0.884705 t=1065
he 	和	c=3 d=1.64665 t=397
he bing 	合併	c=0 d=0.1 t=1068
he zi 	盒子	c=1 d=1 t=1169
hen 	很	c=2 d=1.60653 t=247
hen duo 	很多	c=0 d=0.1 t=549
hong zi 	紅字	c=1 d=1 t=475
hou 	後	c=4 d=3.12758 t=1161
hou hui 	後悔	c=0 d=0.1 t=88
hou mian 	後面	c=1 d=1 t=427
hou xuan 	候選	c=1 d=1 t=548
hu 	戶	c=1 d=1 t=1357
hu fei 	胡斐	c=1 d=1 t=712
hu si luan xiang 	胡思亂想	c=1 d=1 t=231
hua chu 	劃出	c=1 d=1 t=1027
hua fen 	劃分	c=1 d=1 t=1038
huan hang 	換行	c=1 d=1 t=185
huan jing 	環境	c=1 d=1 t=874
huan ran yi xin 	煥然一新	c=1 d=1 t=205
huang 	黃	c=1 d=1 t=511
hui 	會	c=2 d=1.11824 t=697
hui che 	回車	c=0 d=0.1 t=542
hui che jian 	回車鍵	c=1 d=1 t=557
hui che qing chu bian ma 	回車清楚編碼	c=1 d=1 t=543
hui dao 	回到	c=0 d=0.1 t=62
hui dao dang xia 	回到當下	c=2 d=1.99501 t=64
hui mie 	毀滅	c=1 d=1 t=358
hui zhou 	惠州	c=2 d=1.97045 t=1359
hun chen 	昏沉	c=1 d=1 t=85
huo 	或	c=1 d=1 t=179
huo de 	獲得	c=1 d=1 t=699
huo hu 	火狐	c=1 d=1 t=1023
huo zhe 	或者	c=1 d=1 t=1230
ji 	及	c=0 d=0.1 t=1068
ji 	基	c=1 d=1 t=757
ji 	極	c=1 d=1 t=214
ji di 	幾滴	c=0 d=0.1 t=433
ji di xue 	幾滴血	c=1 d=1 t=434
ji he bing 	及合併	c=1 d=1 t=1069
ji hui 	機會	c=1 d=1 t=176
ji lu 	記錄	c=2 d=1.99005 t=1099
ji shu 	技術	c=1 d=1 t=885
ji su 	極速	c=1 d=1 t=661
ji suan 	計算	c=2 d=1.95123 t=449
ji suan chu 	計算出	c=1 d=1 t=460
ji xu 	繼續	c=1 d=1 t=1171
ji zhu 	記住	c=0 d=0.1 t=549
ji zhu de dong xi hen duo 	記住的東西很多	c=1 d=1 t=550
jia zai 	加載	c=1 d=1 t=906
jia zhang 	家長	c=0 d=0.1 t=760
jia zhang bang 	家長幫	c=1 d=1 t=761
jian 	件	c=0 d=0.1 t=106
jian 	鍵	c=1 d=1 t=546
jian ce 	檢測	c=1 d=1 t=748
jian cha 	檢查	c=1 d=1 t=452
jian chi 	堅持	c=2 d=1.81465 t=406
jian li 	建立	c=1 d=1 t=1298
jian pan 	鍵盤	c=1 d=1 t=579
jian ren bu ba 	堅韌不拔	c=1 d=1 t=166
jian tou 	箭頭	c=1 d=1 t=780
jian yi 	建議	c=1 d=1 t=1394
jiang 	將	c=5 d=3.79699 t=902
jiao 	教	c=1 d=1 t=758
jiao ben 	腳本	c=1 d=1 t=581
jiao bu 	腳步	c=1 d=1 t=415
jiao cheng 	教程	c=2 d=1.47766 t=1258
jie 	揭	c=1 d=1 t=430
jie 	結	c=1 d=1 t=436
jie dao 	街道	c=1 d=1 t=777
jie jue 	解決	c=1 d=1 t=1285
jie shu 	結束	c=1 d=1 t=1125
jin ru 	進入	c=1 d=1 t=1391
